iteration	timestamp	code_hash	norm_hpwl	hpwl	overflow	tns_proxy	runtime_s
0	1780632407	5e680dd1	1.0013201834862386	2182878.0	0.08241871744394302	0.0	31.431462516004103
1	1780632478	72643be4	1.002384747706422	2185198.75	0.08227428793907166	0.0	31.925624866998987
2	1780632549	a1b7e6bc	0.997990252293578	2175618.75	0.08223352581262589	0.0	30.862829499994405
3	1780632612	83fb0d79	1.0002052752293578	2180447.5	0.08246660977602005	0.0	28.612956324999686
4	1780632712	1c6f92c5	1.0023582568807339	2185141.0	0.08228065073490143	0.0	30.32753351399151
5	1780632776	13ab2cb9	0.998855504587156	2177505.0	0.08247856050729752	0.0	30.021378935998655
6	1780632852	e3f8f58c	0.9982561926605504	2176198.5	0.08215108513832092	0.0	28.34890093001013
7	1780632914	4c368bac	0.9983311926605505	2176362.0	0.08238675445318222	0.0	29.777283596005873
8	1780633000	ec5d2f74	1.0001211009174311	2180264.0	0.08260612934827805	0.0	29.187495565987774
9	1780633128	3ad25c69	1.0033009174311927	2187196.0	0.08246847987174988	0.0	29.583907239008113
10	1780633198	997b3c8f	1.0015894495412845	2183465.0	0.08233163505792618	0.0	29.555296596008702
11	1780633282	7c17255d	0.9999201834862386	2179826.0	0.08284427970647812	0.0	31.295982006995473
12	1780633349	f62bf6a4	1.0008435779816514	2181839.0	0.08203671872615814	0.0	31.303128572995774
13	1780633413	24ee7af2	0.9994142201834862	2178723.0	0.08217189460992813	0.0	33.13695020500745
14	1780633496	ed489f51	1.0012621559633028	2182751.5	0.08257788419723511	0.0	31.13771871199424
15	1780633558	3144e587	1.0014201834862386	2183096.0	0.08261467516422272	0.0	30.959620153997093
16	1780633615	3c5e0910	1.0022705275229358	2184949.75	0.0823320671916008	0.0	29.722927620998234
17	1780633694	da102574	1.0018729357798166	2184083.0	0.08255799114704132	0.0	32.06710717000533
18	1780633773	9d80a073	1.0002293577981651	2180500.0	0.08247940242290497	0.0	30.649865233004675
19	1780633838	f7eb7841	1.0010286697247706	2182242.5	0.0822485089302063	0.0	31.282801588997245
